Mã KH,Khách hàng,Nhãn
KH-0522,CÔNG TY CỔ PHẦN SXKD XNK BÌNH THẠNH,Khác
KH-0523,CTY JFE ENGINEERING CORPORATION – NTC THCV THI CÔNG & HT CÁC HM LQ ĐẾN GT “CP-2: NM XỬ LÝ NƯỚC THẢI”,Xây dựng
KH-0524,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN SAIGONTEL,Công nghệ
KH-0525,Công Ty Cổ Phần Phát Triển Đô Thị Quốc Tế Việt Nam,Khác
KH-0526,CÔNG TY TNHH DỆT VÀ NHUỘM HƯNG YÊN,Khác
KH-0527,TRUNG TÂM ĐÀO TẠO VÀ NÂNG CAO NĂNG LỰC PHỤ NỮ,Dịch vụ
KH-0528,CÔNG TY CỔ PHẦN CÔNG NGHỆ OCG,Công nghệ
KH-0529,Công Ty Cổ Phần Nhiệt Điện Vũng Áng II (Vapco),Năng lượng
KH-0530,CÔNG TY TNHH TM&DV VĨNH CƯỜNG,Khác
KH-0531,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHỆ HÀ VIỆT,Công nghệ
KH-0532,CONG TY TNHH MICHELLE,Khác
KH-0533,Công ty TNHH MT Hojgaard Việt Nam,Công nghệ
KH-0534,Công ty TNHH Technova,Công nghệ
KH-0535,CÔNG TY CỔ PHẦN DỊCH VỤ KỸ THUẬT MOBIFONE,Dịch vụ
KH-0536,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI PHÚ QUANG HƯNG,Xây dựng
KH-0537,CÔNG TY TNHH KHU CÔNG NGHIỆP THĂNG LONG VĨNH PHÚC,Sản xuất
KH-0538,CÔNG TY CỔ PHẦN THIẾT BỊ VÀ PHÁT TRIỂN CÔNG NGHỆ TRỌNG ĐIỂM,Công nghệ
KH-0539,CÔNG TY TNHH BUSINESS CONSULTANTS VIỆT NAM,Khác
KH-0540,Công ty Cổ phần INNOTEK,Khác
KH-0541,CÔNG TY CỔ PHẦN FPS VIỆT NAM,Khác
KH-0542,CÔNG TY TNHH TƯ VẤN VÀ ĐẦU TƯ TIÊN PHONG QUỐC TẾ VIỆT NAM,Dịch vụ
KH-0543,CÔNG TY TNHH ENS FOAM,Khác
KH-0544,CÔNG TY TNHH INSPECTORIO VIỆT NAM,Khác
KH-0545,CHI NHÁNH CÔNG TY CỔ PHẦN FOODY TẠI HÀ NỘI,Khác
KH-0546,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VẠN LỘC,Công nghệ
KH-0547,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN VINATEX QUỐC TẾ,Khác
KH-0548,CÔNG TY TNHH TRUYỀN THÔNG VÀ QUẢNG CÁO THÀNH NAM,Dịch vụ
KH-0549,CÔNG TY TRÁCH NHIỆM HỮU HẠN VÂN LONG,Khác
KH-0550,CÔNG TY TNHH TƯ VẤN COUTURE VIỆT NAM,Dịch vụ
KH-0551,CÔNG TY CỔ PHẦN NƯỚC GIẢI KHÁT SANEST KHÁNH HÒA,Khác
KH-0552,CÔNG TY CỔ PHẦN ĐẠI ĐỒNG TIẾN,Khác
KH-0553,Công ty CP Truyền thông và Công nghệ A1,Công nghệ
KH-0554,CÔNG TY TNHH KHU CÔNG NGHIỆP THĂNG LONG,Sản xuất
KH-0555,CÔNG TY TNHH KỸ THUẬT VÀ THƯƠNG MẠI VIỆT Á,Khác
KH-0556,CÔNG TY CỔ PHẦN CÔNG NGHỆ TAM PHÚ,Công nghệ
KH-0557,Công ty TNHH Tư vấn Quản lý MCG,Dịch vụ
KH-0558,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ HC TOÀN CẦU,Công nghệ
KH-0559,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN HƯNG PHÁT,Khác
KH-0560,Công ty TNHH Thakral One,Khác
KH-0561,Công ty TNHH Phần mềm CADCAM,Công nghệ
KH-0562,CN Công ty TNHH Nhà nước MTV Thương mại và XNK VIETTEL-Trung tâm phân phối,Năng lượng
KH-0563,CÔNG TY TNHH EL DORADO VIỆT NAM,Khác
KH-0564,Công Ty TNHH Phần mềm Tin Học Điện Tử Tích Hợp,Công nghệ
KH-0565,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ TRẦN ANH,Khác
KH-0566,Công ty Cổ phần Quảng cáo Mai Cát Tường,Công nghệ
KH-0567,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ DU LỊCH VIT HẠ LONG,Công nghệ
KH-0568,Công ty TNHH Phân Phối SNB,Năng lượng
KH-0569,Chi Nhánh Công Ty TNHH Yen Of London,Khác
KH-0570,Công ty TNHH BX Bunka Việt Nam,Khác
KH-0571,CÔNG TY TNHH THIẾT BỊ KỸ THUẬT TUẤN THỊNH,Sản xuất
KH-0572,CÔNG TY TNHH CNC VINA,Khác
KH-0573,Công ty TNHH GoerTek Vina,Khác
KH-0574,CÔNG TY TNHH WELLBE VIỆT NAM,Khác
KH-0575,CÔNG TY TNHH YOON IL VIỆT NAM,Khác
KH-0576,TRUNG TÂM TƯ VẤN THIẾT KẾ VÀ XÂY DỰNG,Dịch vụ
KH-0577,Viện Khoa Học và Kỹ Thuật Hạt Nhân,Năng lượng
KH-0578,CÔNG TY CỔ PHẦN TẬP ĐOÀN THÀNH CÔNG,Khác
KH-0579,CÔNG TY TNHH VIỆT NAM TOYO DENSO,Khác
KH-0580,CÔNG TY TNHH THƯƠNG MẠI TRẦN HỒNG QUÂN,Khác
KH-0581,CÔNG TY CỔ PHẦN KORIHOME VIỆT NAM,Khác
KH-0582,NGÂN HÀNG NÔNG NGHIỆP VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM - CHI NHÁNH HUYỆN XUÂN LỘC ĐỒNG NAI,Công nghệ
KH-0583,CÔNG TY TNHH MAZARS VIỆT NAM,Công nghệ
KH-0584,CÔNG TY CỔ PHẦN SẢN XUẤT KINH DOANH DƯỢC VÀ TRANG THIẾT BỊ Y TẾ VIỆT MỸ,Dịch vụ
KH-0585,Công ty TNHH Đầu Tư thương mại Dung Hòa,Khác
KH-0586,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ PHÁT TRIỂN HẢI TRUNG,Dịch vụ
KH-0587,CÔNG TY CỔ PHẦN JIVC,Khác
KH-0588,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ CÔNG NGHỆ ANH EM,Công nghệ
KH-0589,CÔNG TY TNHH UTI VINA,Khác
KH-0590,Trường THPT Nguyễn Văn Linh,Khác
KH-0591,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH – CÔNG TY TNHH HASHIMA VIỆT NAM,Khác
KH-0592,CÔNG TY CỔ PHẦN HẠ TẦNG ĐÔNG Á,Công nghệ
KH-0593,Công Ty TNHH Hệ Thống Thông Tin Fpt,Công nghệ
KH-0594,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ VÀ TRUYỀN THÔNG VICTORY VIỆT NAM,Công nghệ
KH-0595,"Co-well Co., Ltd",Khác
KH-0596,CÔNG TY TNHH HWATA VIỆT NAM,Khác
KH-0597,CÔNG TY TNHH YOUNGJIN HI - TECH VINA,Công nghệ
KH-0598,CÔNG TY PHẦN MỀM VNPT- CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Công nghệ
KH-0599,Công ty TNHH thương mại và dịch vụ Thông Thiên,Dịch vụ
KH-0600,Công Ty TNHH Thương Mại Công Nghệ Minh Thắng,Công nghệ
KH-0601,Công ty TNHH May Nien Hsing Việt Nam,Khác
KH-0602,TRƯỜNG THPT VIỆT MỸ ANH,Khác
KH-0603,Công ty TNHH thương mại dịch vụ An Đạt Thịnh,Dịch vụ
KH-0604,CÔNG TY TNHH MTV ỨNG DỤNG CÔNG NGHỆ VÀ DỊCH VỤ TRUYỀN THÔNG ÂU LẠC,Công nghệ
KH-0605,CÔNG TY CỔ PHẦN VĂN HÓA TÂN BÌNH,Khác
KH-0606,CÔNG TY TNHH THƯƠNG MẠI & DỊCH VỤ T.T.K,Dịch vụ
KH-0607,CÔNG TY CỔ PHẦN THỦY SẢN CÀ MAU,Sản xuất
KH-0608,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG BẤT ĐỘNG SẢN LANMAK,Dịch vụ
KH-0609,Công ty TNHH Phát triển công nghệ và thương mại Gia Long,Công nghệ
KH-0610,CÔNG TY CỐ PHẦN DỊCH VỤ MÁY TÍNH KỶ NGUYÊN,Công nghệ
KH-0611,Công Ty Cổ Phần Thực Phẩm Richy Miền Nam,Sản xuất
KH-0612,Công ty TNHH Thương Mại Tin Học Công Nghệ Zonotek,Công nghệ
KH-0613,Công ty CP ĐT và PTCN Quốc gia ADG,Khác
KH-0614,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TIN HỌC HT VIỆT NAM,Công nghệ
KH-0615,Công ty TNHH Yokowo Việt Nam,Khác
KH-0616,CÔNG TY CỔ PHẦN VẬN TẢI BÌNH AN HÀ TIÊN,Dịch vụ
KH-0617,Công ty CP Máy Tính Hà Nội,Công nghệ
KH-0618,Công ty TNHH GTS Hải Đăng,Khác
KH-0619,CÔNG TY TNHH DOOSUN VIỆT NAM,Khác
KH-0620,CÔNG TY TNHH VIỆT NAM TOKAI,Công nghệ
KH-0621,CÔNG TY NĂNG LƯỢNG MEKONG,Năng lượng
KH-0622,Công ty TNHH Thương mại Kỹ thuật Song Lợi,Khác
KH-0623,CÔNG TY CỔ PHẦN BỀN,Khác
KH-0624,CÔNG TY TNHH BAGS CONNECTION VINA,Khác
KH-0625,Công ty TNHH Yudo Việt Nam,Khác
KH-0626,CÔNG TY CỔ PHẦN NSTECH VIỆT NAM,Công nghệ
KH-0627,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TRÂM QUỲNH,Dịch vụ
KH-0628,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ TIN HỌC MẠNH TÚ,Công nghệ
KH-0629,CÔNG TY TNHH GIẢI PHÁP VÀ DỊCH VỤ CAO CẤP,Dịch vụ
KH-0630,CÔNG TY TNHH THƯƠNG MẠI LONG MỸ,Khác
KH-0631,Công ty TNHH công nghệ xây dựng Đại Phong,Công nghệ
KH-0632,CÔNG TY TNHH MHI AEROSPACE VIỆT NAM,Khác
KH-0633,CÔNG TY TNHH FRESCO FOODS,Khác
KH-0634,CÔNG TY VTC DỊCH VỤ TRUYỀN HÌNH SỐ,Dịch vụ
KH-0635,Công Ty Kurihara Việt Nam,Công nghệ
KH-0636,CÔNG TY TNHH KỸ THUẬT CHANGHONG (VIỆT NAM),Khác
KH-0637,Công Ty TNHH Một Thành Viên Đóng Tàu Hạ Long,Khác
KH-0638,CÔNG TY CỔ PHẦN DELTA CROPCARE,Công nghệ
KH-0639,Cửa Hàng Công Liên,Xây dựng
KH-0640,CÔNG TY M&C ELECTRONICS VINA,Công nghệ
KH-0641,CÔNG TY TNHH 1 TV DỊCH VỤ THƯƠNG MẠI PHÚC HOÀNG,Dịch vụ
KH-0642,Công Ty TNHH QUảng Cáo B.M.C,Dịch vụ
KH-0643,CÔNG TY TNHH QUẢN LÝ CA,Dịch vụ
KH-0644,Công Ty CP Thiết Kế và Trang Trí Nội Thất Norah,Dịch vụ
KH-0645,Công Ty Cổ Phần Cơ Kim Khí Việt Mỹ,Khác
KH-0646,CÔNG TY TNHH NIKKEN INTERNATIONAL ASIA,Khác
KH-0647,CÔNG TY TNHH BROTEX (VIỆT NAM),Khác
KH-0648,Công ty TNHH Lockon Việt Nam,Khác
KH-0649,VPĐD THƯỜNG TRÚ HIỆP HỘI CÁC PHÒNG THƯƠNG MẠI & CÔNG NGHIỆP ĐỨC (DIHK) TẠI VIỆT NAM,Sản xuất
KH-0650,Công ty TNHH KISHIN Việt Nam,Khác
KH-0651,Công Ty TNHH Công Nghệ Kinh Doanh Quốc Tế,Công nghệ
KH-0652,CÔNG TY TNHH CO-WELL CHÂU Á,Khác
KH-0653,Công Ty Cổ Phần BlueCom Việt Nam,Khác
KH-0654,Công ty Cổ phần Tân Cảng Bến Thành,Khác
KH-0655,Công ty TNHH NISHIO Rent All Việt Nam,Khác
KH-0656,CÔNG TY TNHH TÂN HỒNG HÀ,Khác
KH-0657,CÔNG TY TNHH NS TECH.VINA,Công nghệ
KH-0658,CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG ĐIỆN 4,Dịch vụ
KH-0659,VPĐD TT HIỆP HỘI CÁC PHÒNG THƯƠNG MẠI & CÔNG  NGHIỆP ĐỨC (DIHK) TẠI TP. HỒ CHÍ MINH,Sản xuất
KH-0660,Công Ty TNHH Mizuho Precision Việt Nam,Khác
KH-0661,TRUNG TÂM TƯ VẤN XÂY DỰNG CÔNG NGHIỆP VÀ HẠ TẦNG,Công nghệ
KH-0662,Công ty TNHH Maxpeed Hà Nội,Khác
KH-0663,Đài Phát thanh - Truyền hình Hải Dương,Năng lượng
KH-0664,CÔNG TY TNHH RICHARD MOORE ASSOCIATES,Công nghệ
KH-0665,CÔNG TY TNHH GIẤY  KRAFT VINA,Khác
KH-0666,CÔNG TY TNHH WURTH VIỆT NAM,Khác
KH-0667,CÔNG TY CỔ PHẦN DỊCH VỤ KỸ THUẬT VIỄN THÔNG,Công nghệ
KH-0668,Công ty TNHH Kotiti Việt Nam,Công nghệ
KH-0669,Công ty Cổ phần Đầu tư Kỹ thuật Berjaya Gia Thịnh,Khác
KH-0670,CÔNG TY TNHH PROPERWELL VIỆT NAM,Khác
KH-0671,TRUNG TÂM PHÒNG CHỐNG HIV/AIDS TỈNH KIÊN GIANG,Công nghệ
KH-0672,CÔNG TY TNHH NIPPON PAINT VĨNH PHÚC,Công nghệ
KH-0673,CÔNG TY TNHH TƯ VẤN ĐẦU TƯ & XÂY DỰNG A.E,Dịch vụ
KH-0674,CÔNG TY TNHH GENSOFT VINA,Khác
KH-0675,CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY LẮP HÀ NGUYÊN,Khác
KH-0676,CÔNG TY TNHH DỊCH VỤ BẢO DƯỠNG MÁY BAY CẢNG HÀNG KHÔNG MIỀN NAM,Dịch vụ
KH-0677,VĂN PHÒNG ĐẠI DIỆN CÔNG TY VIETNAM HOLDING ASSET MANAGEMENT LTD. TẠI THÀNH PHỐ HỒ CHÍ MINH,Dịch vụ
KH-0678,CÔNG TY CỔ PHẦN PHÁT TRIỂN NHÀ G HOMES,Khác
KH-0679,CÔNG TY TNHH OGILVYONE VIỆT NAM,Khác
KH-0680,"CÔNG TY TNHH VẬN CHUYỂN ""K"" LINE (VIỆT NAM)",Năng lượng
KH-0681,CÔNG TY TNHH ĐÔNG A,Khác
KH-0682,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI TIẾN MINH,Xây dựng
KH-0683,Công Ty Cổ Phần Thương Mại Phân Phối Các Sản Phẩm Điện Tử Tin Học,Công nghệ
KH-0684,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI TRẦN HỒNG QUÂN - TÒA THÁP KHÁCH SẠN,Dịch vụ
KH-0685,CÔNG TY CỔ PHẦN THƯƠNG MẠI & PHÁT TRIỂN CÔNG NGHỆ HƯNG THIỆN,Công nghệ
KH-0686,CÔNG TY TNHH VÕ TRỌNG NGHĨA,Khác
KH-0687,CÔNG TY CỔ PHẦN IDC ĐÔNG DƯƠNG,Khác
KH-0688,CÔNG TY CỔ PHẦN THỂ THAO NGÔI SAO GERU,Khác
KH-0689,CÔNG TY TNHH HANSOL CNP VINA,Khác
KH-0690,Công ty Cổ phần Công nghệ ELITE,Công nghệ
KH-0691,CÔNG TY TNHH WILLER VIỆT NAM,Khác
KH-0692,TRUNG TÂM TRUYỀN THÔNG - TRUYỀN HÌNH CÔNG THƯƠNG,Dịch vụ
KH-0693,Công Ty TNHH Tin Học và Thương Mại Chân Chính,Công nghệ
KH-0694,CÔNG TY TNHH JULIE SANDLAU VIỆT NAM,Khác
KH-0695,CÔNG TY TNHH MÁY TÍNH LONG NGUYỄN,Công nghệ
KH-0696,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT ĐỒ DÙNG GIA ĐÌNH VIỆT NAM,Sản xuất
KH-0697,CÔNG TY TNHH NHẤT NHẤT,Khác
KH-0698,CÔNG TY TNHH HỒNG VẬN,Khác
KH-0699,Công Ty Mua Bán Điện,Năng lượng
KH-0700,CÔNG TY TNHH VIỄN TÍN VINH,Khác
KH-0701,CÔNG TY TNHH SI FLEX VIỆT NAM,Khác
KH-0702,CÔNG TY CỔ PHẦN XNK VÀ ĐẦU TƯ THỪA THIÊN HUẾ,Khác
KH-0703,CÔNG TY CỔ PHẦN LÚA VÀNG,Khác
KH-0704,CÔNG TY CP BAO BÌ VÀ IN NÔNG NGHIỆP,Sản xuất
KH-0705,CÔNG TY CỔ PHẦN GIÓ NHẸ MIỀN NAM,Năng lượng
KH-0706,CÔNG TY TNHH YUSEN LOGISTICS (VIỆT NAM),Dịch vụ
KH-0707,CÔNG TY CỔ PHẦN CORESOFT,Khác
KH-0708,ECODIT LLC – Dự án Trường Sơn Xanh do USAID tài trợ,Công nghệ
KH-0709,CÔNG TY TNHH ĐIỆN LẠNH MIỀN TÂY,Năng lượng
KH-0710,Công ty TNHH BIP Systems Việt Nam,Khác
KH-0711,CÔNG TY CỔ PHẦN PHẦN MỀM CITIGO,Công nghệ
KH-0712,CÔNG TY TNHH SEEC VIỆT NAM,Khác
KH-0713,CÔNG TY CỔ PHẦN XI MĂNG HỆ DƯỠNG,Xây dựng
KH-0714,Công ty  TNHH Một Thành Viên Công nghệ Phúc Sơn,Công nghệ
KH-0715,CÔNG TY TNHH YAMATO LOGISTICS VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH,Dịch vụ
KH-0716,CHI NHÁNH THỦ ĐỨC - CÔNG TY CỔ PHẦN I.P.L,Khác
KH-0717,CÔNG TY TNHH THẾ GIỚI KIM CƯƠNG,Khác
KH-0718,CÔNG TY CỔ PHẦN FUJIWINDOWS,Xây dựng
KH-0719,CÔNG TY TNHH NHÓM MÂY,Khác
KH-0720,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI THÁI TRÍ,Dịch vụ
KH-0721,CÔNG TY TNHH ESPRINTA (VIỆT NAM),Khác
KH-0722,CÔNG TY TNHH NESSCO VIỆT NAM,Khác
KH-0723,CÔNG TY TRÁCH NHIỆM HỮU HẠN CÔNG NGHỆ KIẾN HÂN,Công nghệ
KH-0724,CÔNG TY TNHH HSIEHS BIOTECH,Công nghệ
KH-0725,CÔNG TY TNHH OLMIX ASIALAND VIỆT NAM,Khác
KH-0726,CÔNG TY CỔ PHẦN TÍCH HỢP HỆ THỐNG NAM TRƯỜNG SƠN,Công nghệ
KH-0727,CÔNG TY TNHH YAKJIN INTERTEX,Khác
KH-0728,CÔNG TY TNHH ĐÀO TẠO VÀ TÍCH HỢP CÔNG NGHỆ E-TECK,Công nghệ
KH-0729,CÔNG TY TNHH TM DV KỸ THUẬT VIỄN THÔNG TOÀN CẦU,Công nghệ
KH-0730,CÔNG TY TNHH 1C VIỆT NAM,Khác
KH-0731,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ VIỆT TIẾN,Công nghệ
KH-0732,CÔNG TY CỔ PHẦN CARBON VIỆT NAM,Công nghệ
KH-0733,CÔNG TY TNHH MỘT THÀNH VIÊN MAY MẶC VIỆT PACIFIC,Sản xuất
KH-0734,CÔNG TY TNHH SL INTERNATIONAL,Khác
KH-0735,CÔNG TY CỔ PHẦN KỸ THUẬT VÀ THƯƠNG MẠI H.T.G,Khác
KH-0736,CÔNG TY TNHH MTV I.M.LINK VIỆT NAM,Khác
KH-0737,CÔNG TY CỔ PHẦN DƯỢC PHẨM PHA NO,Khác
KH-0738,CÔNG TY TNHH ANH TIN,Khác
KH-0739,"VĂN PHÒNG ĐẠI DIỆN PAN-PACIFIC CO.,LTD TẠI THÀNH PHỐ HỒ CHÍ MINH",Khác
KH-0740,CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ DHA,Khác
KH-0741,CÔNG TY TNHH TƯ VẤN INNOVATURE,Dịch vụ
KH-0742,CÔNG TY TNHH ĐIỆN TỬ TT,Công nghệ
KH-0743,TRUNG TÂM ĐIỀU ĐỘ HỆ THỐNG ĐIỆN MIỀN TRUNG,Công nghệ
KH-0744,Công ty CP Đường Quảng Ngãi,Khác
KH-0745,Công Ty TNHH Công Nghệ Polaris Đà Nẵng,Công nghệ
KH-0746,Công ty Taisei NB - TC gói thầu CP-1A PTR CSHT chính của DA PT CSHT KCN cao Hòa Lạc tại TPHN,Công nghệ
KH-0747,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ IDOCNET,Công nghệ
KH-0748,CÔNG TY TNHH TÍCH HỢP HỆ THỐNG CMC,Công nghệ
KH-0749,CÔNG TY CỔ PHẦN KAROFI VIỆT NAM,Công nghệ
KH-0750,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ XÂY DỰNG CÔNG NGHỆ XANH,Công nghệ
KH-0751,CÔNG TY CỔ PHẦN ĐIỆN LỰC TRUNG SƠN,Năng lượng
KH-0752,CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ VÀ THƯƠNG MẠI THE GARDEN,Công nghệ
KH-0753,Công ty TNHH quốc tế liên doanh VINACONEX-TAISEI (VINATA),Công nghệ
KH-0754,Công Ty Cổ Phần Odin Việt Nam,Khác
KH-0755,CÔNG TY TNHH KHÔNG GIAN MỚI,Khác
KH-0756,CÔNG TY CỔ PHẦN MĨ THUẬT VÀ TRUYỀN THÔNG,Dịch vụ
KH-0757,Công Ty Cổ Phần Máy Tính Sài Gòn,Công nghệ
KH-0758,Công Ty TNHH Westfield Việt Nam,Khác
KH-0759,Công ty TNHH Nam Of LonDon,Khác
KH-0760,Văn phòng đại diện New World Fashion Group tại Hải Phòng,Khác
KH-0761,Công ty Quốc tế TNHH Đông Tài Việt Nam,Khác
KH-0762,CÔNG TY TNHH DIMENSION DATA VIỆT NAM,Khác
KH-0763,Công ty TNHH Du Lịch Nghỉ Dưỡng Sinh Thái Mai Châu,Công nghệ
KH-0764,Công ty TNHH Matsuo Industries Việt Nam,Khác
KH-0765,Công ty TNHH HEYUM Vina,Khác
KH-0766,Công ty TNHH Kỹ thuật và Thương mại KT,Khác
KH-0767,Công ty TNHH Yokohama Tyre Việt Nam,Khác
KH-0768,CÔNG TY TNHH TIẾP VẬN THĂNG LONG – CHI NHÁNH HƯNG YÊN,Dịch vụ
KH-0769,Công ty TNHH Miền Á Đông,Khác
KH-0770,CÔNG TY TNHH TÍCH HỢP HỆ THỐNG ITECH,Công nghệ
KH-0771,CÔNG TY TNHH ỨNG DỤNG HỆ THỐNG THỊNH VƯỢNG,Công nghệ
KH-0772,CHI NHÁNH CÔNG TY TNHH TIẾP VẬN THĂNG LONG TẠI HẢI PHÒNG,Dịch vụ
KH-0773,Công ty TNHH e-Litecom Vina,Công nghệ
KH-0774,CÔNG TY CỔ PHẦN THÔNG TIN TÍN DỤNG VIỆT NAM,Khác
KH-0775,Công Ty Cổ Phần Năng Lượng Vĩnh Tân 3,Năng lượng
KH-0776,CÔNG TY TNHH NANO HIGHTECH VIỆT NAM,Công nghệ
KH-0777,CÔNG TY CỔ PHẦN THIẾT BỊ TÂN PHÁT,Sản xuất
KH-0778,CÔNG TY TNHH CÔNG NGHIỆP HÀ YẾN SGN,Sản xuất
KH-0779,CÔNG TY CỔ PHẦN SOYA GARDEN,Công nghệ
KH-0780,CÔNG TY TNHH NGÔI NHÀ SÁNG TẠO,Khác
KH-0781,Công ty TNHH Thương Mại Dịch Vụ Việt Ý,Dịch vụ
KH-0782,Công ty Cổ phần Tin học Lạc Việt,Công nghệ
KH-0783,CHI NHÁNH CÔNG TY TNHH DỊCH VỤ TIN HỌC FPT TẠI MIỀN TRUNG,Công nghệ
KH-0784,CÔNG TY TNHH LUNA NEXUS VN INC,Khác
KH-0785,CÔNG TY TNHH VNEXUS CAPITAL ADVISORS,Công nghệ
KH-0786,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG HOÁ HÀNG KHÔNG VIỆT NAM,Dịch vụ
